

  1%|▊                                                                                  | 1/100 [00:02<04:03,  2.46s/it, loss_test=35.928]

  2%|█▋                                                                                 | 2/100 [00:04<03:40,  2.25s/it, loss_test=19.536]

  3%|██▍                                                                                | 3/100 [00:06<03:36,  2.23s/it, loss_test=14.414]

  4%|███▎                                                                               | 4/100 [00:08<03:29,  2.18s/it, loss_test=13.742]

  5%|████▏                                                                              | 5/100 [00:10<03:24,  2.15s/it, loss_test=13.422]

  6%|████▉                                                                              | 6/100 [00:13<03:20,  2.13s/it, loss_test=13.221]

  7%|█████▊                                                                             | 7/100 [00:15<03:17,  2.13s/it, loss_test=13.054]

  8%|██████▋                                                                            | 8/100 [00:17<03:18,  2.15s/it, loss_test=12.932]

  9%|███████▍                                                                           | 9/100 [00:19<03:14,  2.14s/it, loss_test=12.872]

 10%|████████▏                                                                         | 10/100 [00:21<03:11,  2.13s/it, loss_test=12.774]

 11%|█████████                                                                         | 11/100 [00:23<03:08,  2.12s/it, loss_test=12.751]

 12%|█████████▊                                                                        | 12/100 [00:25<03:05,  2.11s/it, loss_test=12.711]

 13%|██████████▋                                                                       | 13/100 [00:28<03:06,  2.14s/it, loss_test=12.654]

 14%|███████████▍                                                                      | 14/100 [00:30<03:02,  2.13s/it, loss_test=12.633]

 15%|████████████▎                                                                     | 15/100 [00:32<03:00,  2.12s/it, loss_test=12.577]
Epoch: 14, Training Loss: 45.4182, Test Loss: 12.5774

 16%|█████████████                                                                     | 16/100 [00:34<02:57,  2.12s/it, loss_test=12.532]


 18%|██████████████▊                                                                   | 18/100 [00:38<02:54,  2.13s/it, loss_test=12.485]

 19%|███████████████▌                                                                  | 19/100 [00:40<02:51,  2.12s/it, loss_test=12.399]

 20%|████████████████▍                                                                 | 20/100 [00:42<02:49,  2.12s/it, loss_test=12.349]

 21%|█████████████████▏                                                                | 21/100 [00:44<02:47,  2.12s/it, loss_test=12.374]

 22%|██████████████████                                                                | 22/100 [00:47<02:44,  2.12s/it, loss_test=12.326]

