

  1%|▊                                                                                  | 1/100 [00:02<04:04,  2.47s/it, loss_test=35.836]

  2%|█▋                                                                                 | 2/100 [00:04<03:41,  2.26s/it, loss_test=19.550]

  3%|██▍                                                                                | 3/100 [00:06<03:37,  2.24s/it, loss_test=14.338]

  4%|███▎                                                                               | 4/100 [00:08<03:30,  2.19s/it, loss_test=13.701]

  5%|████▏                                                                              | 5/100 [00:11<03:25,  2.17s/it, loss_test=13.411]

  6%|████▉                                                                              | 6/100 [00:13<03:22,  2.15s/it, loss_test=13.214]

  8%|██████▋                                                                            | 8/100 [00:17<03:19,  2.17s/it, loss_test=12.958]
Epoch: 06, Training Loss: 48.3664, Test Loss: 13.0734

  9%|███████▍                                                                           | 9/100 [00:19<03:15,  2.15s/it, loss_test=12.894]

 10%|████████▏                                                                         | 10/100 [00:21<03:12,  2.14s/it, loss_test=12.828]

 11%|█████████                                                                         | 11/100 [00:23<03:09,  2.13s/it, loss_test=12.809]

 12%|█████████▊                                                                        | 12/100 [00:25<03:07,  2.13s/it, loss_test=12.754]

 13%|██████████▋                                                                       | 13/100 [00:28<03:07,  2.15s/it, loss_test=12.685]
Epoch: 12, Training Loss: 46.1755, Test Loss: 12.6851

 14%|███████████▍                                                                      | 14/100 [00:30<03:04,  2.14s/it, loss_test=12.641]


 16%|█████████████                                                                     | 16/100 [00:34<02:58,  2.13s/it, loss_test=12.595]

 17%|█████████████▉                                                                    | 17/100 [00:36<02:56,  2.13s/it, loss_test=12.595]

 18%|██████████████▊                                                                   | 18/100 [00:38<02:56,  2.15s/it, loss_test=12.551]

 19%|███████████████▌                                                                  | 19/100 [00:40<02:53,  2.15s/it, loss_test=12.475]

 20%|████████████████▍                                                                 | 20/100 [00:43<02:51,  2.14s/it, loss_test=12.447]

 21%|█████████████████▏                                                                | 21/100 [00:45<02:48,  2.13s/it, loss_test=12.426]

 22%|██████████████████                                                                | 22/100 [00:47<02:46,  2.13s/it, loss_test=12.356]

 23%|██████████████████▊                                                               | 23/100 [00:49<02:46,  2.16s/it, loss_test=12.331]

 24%|███████████████████▋                                                              | 24/100 [00:51<02:43,  2.15s/it, loss_test=12.320]

 25%|████████████████████▌                                                             | 25/100 [00:53<02:40,  2.14s/it, loss_test=12.313]

 26%|█████████████████████▎                                                            | 26/100 [00:55<02:38,  2.14s/it, loss_test=12.273]

 27%|██████████████████████▏                                                           | 27/100 [00:58<02:35,  2.13s/it, loss_test=12.348]

 28%|██████████████████████▉                                                           | 28/100 [01:00<02:35,  2.16s/it, loss_test=12.252]
Epoch: 27, Training Loss: 43.8964, Test Loss: 12.2522


 30%|████████████████████████▌                                                         | 30/100 [01:04<02:29,  2.14s/it, loss_test=12.265]

 31%|█████████████████████████▍                                                        | 31/100 [01:06<02:27,  2.14s/it, loss_test=12.297]

 32%|██████████████████████████▏                                                       | 32/100 [01:08<02:24,  2.13s/it, loss_test=12.254]

 33%|███████████████████████████                                                       | 33/100 [01:11<02:24,  2.16s/it, loss_test=12.245]

 34%|███████████████████████████▉                                                      | 34/100 [01:13<02:21,  2.15s/it, loss_test=12.273]

 35%|████████████████████████████▋                                                     | 35/100 [01:15<02:19,  2.14s/it, loss_test=12.275]

 36%|█████████████████████████████▌                                                    | 36/100 [01:17<02:16,  2.13s/it, loss_test=12.266]

 37%|██████████████████████████████▎                                                   | 37/100 [01:19<02:14,  2.13s/it, loss_test=12.272]

 38%|███████████████████████████████▏                                                  | 38/100 [01:21<02:13,  2.16s/it, loss_test=12.244]

 39%|███████████████████████████████▉                                                  | 39/100 [01:23<02:11,  2.15s/it, loss_test=12.222]

 40%|████████████████████████████████▊                                                 | 40/100 [01:25<02:08,  2.14s/it, loss_test=12.248]

 41%|█████████████████████████████████▌                                                | 41/100 [01:28<02:05,  2.13s/it, loss_test=12.228]

 42%|██████████████████████████████████▍                                               | 42/100 [01:30<02:03,  2.13s/it, loss_test=12.209]
Epoch: 41, Training Loss: 43.5196, Test Loss: 12.2088

 43%|███████████████████████████████████▎                                              | 43/100 [01:32<02:02,  2.16s/it, loss_test=12.251]


 45%|████████████████████████████████████▉                                             | 45/100 [01:36<01:57,  2.14s/it, loss_test=12.224]

 46%|█████████████████████████████████████▋                                            | 46/100 [01:38<01:55,  2.13s/it, loss_test=12.204]

 47%|██████████████████████████████████████▌                                           | 47/100 [01:40<01:52,  2.13s/it, loss_test=12.215]

 48%|███████████████████████████████████████▎                                          | 48/100 [01:43<01:52,  2.15s/it, loss_test=12.221]

 49%|████████████████████████████████████████▏                                         | 49/100 [01:45<01:49,  2.14s/it, loss_test=12.271]

 50%|█████████████████████████████████████████                                         | 50/100 [01:47<01:46,  2.14s/it, loss_test=12.206]

 51%|█████████████████████████████████████████▊                                        | 51/100 [01:49<01:44,  2.13s/it, loss_test=12.190]

 52%|██████████████████████████████████████████▋                                       | 52/100 [01:51<01:42,  2.13s/it, loss_test=12.190]

 53%|███████████████████████████████████████████▍                                      | 53/100 [01:53<01:41,  2.15s/it, loss_test=12.212]

 54%|████████████████████████████████████████████▎                                     | 54/100 [01:55<01:38,  2.14s/it, loss_test=12.177]

 55%|█████████████████████████████████████████████                                     | 55/100 [01:58<01:36,  2.13s/it, loss_test=12.215]

 56%|█████████████████████████████████████████████▉                                    | 56/100 [02:00<01:33,  2.13s/it, loss_test=12.256]
Epoch: 55, Training Loss: 43.3491, Test Loss: 12.2564

 57%|██████████████████████████████████████████████▋                                   | 57/100 [02:02<01:32,  2.16s/it, loss_test=12.200]


 59%|████████████████████████████████████████████████▍                                 | 59/100 [02:06<01:27,  2.14s/it, loss_test=12.263]

 60%|█████████████████████████████████████████████████▏                                | 60/100 [02:08<01:25,  2.13s/it, loss_test=12.178]

