

  2%|█▏                                             | 1/40 [00:02<01:47,  2.74s/it, loss_test=0.919]

  5%|██▎                                            | 2/40 [00:05<01:39,  2.62s/it, loss_test=0.330]

  8%|███▌                                           | 3/40 [00:07<01:34,  2.55s/it, loss_test=0.321]

 10%|████▋                                          | 4/40 [00:10<01:28,  2.46s/it, loss_test=0.315]
Epoch: 03, Training Loss: 0.3246, Test Loss: 0.3149


 15%|███████                                        | 6/40 [00:15<01:23,  2.46s/it, loss_test=0.313]

 18%|████████▏                                      | 7/40 [00:17<01:20,  2.44s/it, loss_test=0.315]

 20%|█████████▍                                     | 8/40 [00:19<01:19,  2.47s/it, loss_test=0.314]
Epoch: 07, Training Loss: 0.3208, Test Loss: 0.3144


 25%|███████████▌                                  | 10/40 [00:24<01:13,  2.45s/it, loss_test=0.313]

 28%|████████████▋                                 | 11/40 [00:27<01:10,  2.43s/it, loss_test=0.312]

 30%|█████████████▊                                | 12/40 [00:29<01:08,  2.44s/it, loss_test=0.318]

 32%|██████████████▉                               | 13/40 [00:32<01:06,  2.46s/it, loss_test=0.312]
Epoch: 12, Training Loss: 0.3186, Test Loss: 0.3119


 38%|█████████████████▎                            | 15/40 [00:36<01:00,  2.41s/it, loss_test=0.313]

 40%|██████████████████▍                           | 16/40 [00:39<00:57,  2.39s/it, loss_test=0.313]

 40%|██████████████████▍                           | 16/40 [00:41<00:57,  2.39s/it, loss_test=0.319]


 42%|███████████████████▌                          | 17/40 [00:46<01:09,  3.00s/it, loss_test=0.318]


 48%|█████████████████████▊                        | 19/40 [00:50<01:04,  3.05s/it, loss_test=0.312]

 50%|███████████████████████                       | 20/40 [00:52<00:58,  2.93s/it, loss_test=0.312]

 52%|████████████████████████▏                     | 21/40 [00:55<00:53,  2.80s/it, loss_test=0.313]

 55%|█████████████████████████▎                    | 22/40 [00:58<00:49,  2.77s/it, loss_test=0.315]
Epoch: 21, Training Loss: 0.3176, Test Loss: 0.3151


 60%|███████████████████████████▌                  | 24/40 [01:02<00:41,  2.59s/it, loss_test=0.312]

 62%|████████████████████████████▊                 | 25/40 [01:05<00:38,  2.53s/it, loss_test=0.313]

 65%|█████████████████████████████▉                | 26/40 [01:07<00:34,  2.50s/it, loss_test=0.312]

 68%|███████████████████████████████               | 27/40 [01:10<00:31,  2.45s/it, loss_test=0.313]
Epoch: 26, Training Loss: 0.3168, Test Loss: 0.3134


 72%|█████████████████████████████████▎            | 29/40 [01:14<00:26,  2.44s/it, loss_test=0.317]

 75%|██████████████████████████████████▌           | 30/40 [01:17<00:24,  2.48s/it, loss_test=0.313]

 78%|███████████████████████████████████▋          | 31/40 [01:20<00:22,  2.49s/it, loss_test=0.312]
Epoch: 30, Training Loss: 0.3155, Test Loss: 0.3125


 82%|█████████████████████████████████████▉        | 33/40 [01:25<00:17,  2.53s/it, loss_test=0.313]

 85%|███████████████████████████████████████       | 34/40 [01:27<00:14,  2.48s/it, loss_test=0.313]

 88%|████████████████████████████████████████▎     | 35/40 [01:29<00:12,  2.45s/it, loss_test=0.312]

 90%|█████████████████████████████████████████▍    | 36/40 [01:32<00:09,  2.45s/it, loss_test=0.312]
Epoch: 35, Training Loss: 0.3145, Test Loss: 0.3121


 95%|███████████████████████████████████████████▋  | 38/40 [01:37<00:04,  2.42s/it, loss_test=0.313]

 98%|████████████████████████████████████████████▊ | 39/40 [01:39<00:02,  2.39s/it, loss_test=0.311]

100%|██████████████████████████████████████████████| 40/40 [01:41<00:00,  2.55s/it, loss_test=0.311]
Epoch: 39, Training Loss: 0.3140, Test Loss: 0.3111
Model saved as model_687228np.pt
Config : {'wandb': True, 'name': 'lstm-enc-dec-inp-6-6-687228np', 'num_features': 11, 'hidden_size': 256, 'dropout': 0, 'weight_decay': 0, 'input_window': 6, 'output_window': 6, 'learning_rate': 0.0005, 'num_layers': 1, 'num_epochs': 40, 'batch_size': 256, 'train_data_len': 52704, 'training_prediction': 'recursive', 'loss_type': 'RMSE', 'model_label': 'ENC-DEC', 'teacher_forcing_ratio': 0.09999999999999969, 'dynamic_tf': True, 'shuffle': True, 'one_hot_month': False, 'num_of_weigths': 3334, 'num_of_params': 553739, 'loss_train': [0.4490489396540558, 0.34058909687925787, 0.32843077489558387, 0.3245900426717365, 0.3228888211443144, 0.32259099886697884, 0.3213479264694102, 0.3208186998963356, 0.3208013196640155, 0.3203501771478092, 0.32016367750132785, 0.31904064907747154, 0.3185664472334525, 0.3186606046031503, 0.31928561956566925, 0.31897664333091064, 0.31866788316298933, 0.3174615655751789, 0.31775883387993364, 0.3178364610409035, 0.31706541163079877, 0.317595670109286, 0.3169780662831138, 0.3169261061531656, 0.316849212436115, 0.3167928437538007, 0.3168376688571537, 0.3160453184562571, 0.31608980105203743, 0.3163121141055051, 0.3154992586111321, 0.3151519287596731, 0.3150537763448322, 0.31491053038660216, 0.31464192205492186, 0.31446798233424916, 0.3147912211716175, 0.3141169401214403, 0.3143226050716989, 0.3140146600849488], 'loss_test': [0.9191337915567251, 0.3297205376319396, 0.3211179841787387, 0.3148611027460832, 0.3154868414768806, 0.313111560466962, 0.31468500158725643, 0.31444793404676974, 0.31258525833105427, 0.31300692298473454, 0.31222602877861416, 0.3181021289947705, 0.31193888645905715, 0.3123500446478526, 0.31266619914617294, 0.31282201485756117, 0.319201865257361, 0.31803762989166456, 0.3117185441347269, 0.3118260510456868, 0.3126721328649765, 0.3151071392572843, 0.3112963162935697, 0.3122787819458888, 0.3130104022148328, 0.3115088916741885, 0.31342213581769895, 0.31254802911709517, 0.3165623461588835, 0.3132069752766536, 0.3124661957606291, 0.3113947197412833, 0.3125747174788744, 0.31273740453597826, 0.3121552123473241, 0.31207214792569477, 0.31228094834547776, 0.3130330374607673, 0.310869771700639, 0.3110695985647348], 'identifier': '687228np'}
