

  2%|█▏                                            | 1/40 [00:02<01:43,  2.64s/it, loss_test=35.795]

  5%|██▎                                           | 2/40 [00:04<01:32,  2.45s/it, loss_test=14.148]

  8%|███▍                                          | 3/40 [00:07<01:29,  2.42s/it, loss_test=13.347]

 10%|████▌                                         | 4/40 [00:09<01:24,  2.33s/it, loss_test=13.029]

 12%|█████▊                                        | 5/40 [00:11<01:22,  2.37s/it, loss_test=12.848]

 15%|██████▉                                       | 6/40 [00:14<01:18,  2.31s/it, loss_test=12.842]
Epoch: 05, Training Loss: 46.1600, Test Loss: 12.8421


 20%|█████████▏                                    | 8/40 [00:18<01:15,  2.36s/it, loss_test=12.752]

 22%|██████████▎                                   | 9/40 [00:21<01:13,  2.38s/it, loss_test=12.599]

 25%|███████████▎                                 | 10/40 [00:23<01:10,  2.33s/it, loss_test=12.510]

 28%|████████████▍                                | 11/40 [00:25<01:06,  2.31s/it, loss_test=12.436]

 30%|█████████████▌                               | 12/40 [00:28<01:05,  2.33s/it, loss_test=12.479]

 32%|██████████████▋                              | 13/40 [00:30<01:04,  2.39s/it, loss_test=12.435]

 35%|███████████████▋                             | 14/40 [00:33<01:01,  2.36s/it, loss_test=12.491]

 38%|████████████████▉                            | 15/40 [00:35<00:59,  2.39s/it, loss_test=12.428]

 40%|██████████████████                           | 16/40 [00:37<00:57,  2.38s/it, loss_test=12.365]

 40%|██████████████████                           | 16/40 [00:40<00:57,  2.38s/it, loss_test=12.470]

 42%|███████████████████▏                         | 17/40 [00:40<00:55,  2.39s/it, loss_test=12.470]


 48%|█████████████████████▍                       | 19/40 [00:44<00:49,  2.35s/it, loss_test=12.415]

 50%|██████████████████████▌                      | 20/40 [00:47<00:46,  2.34s/it, loss_test=12.389]

 52%|███████████████████████▋                     | 21/40 [00:49<00:43,  2.30s/it, loss_test=12.387]

 55%|████████████████████████▊                    | 22/40 [00:51<00:42,  2.34s/it, loss_test=12.468]
Epoch: 21, Training Loss: 44.2041, Test Loss: 12.4682


 60%|███████████████████████████                  | 24/40 [00:56<00:38,  2.42s/it, loss_test=12.342]

 62%|████████████████████████████▏                | 25/40 [00:59<00:36,  2.40s/it, loss_test=12.340]

 65%|█████████████████████████████▎               | 26/40 [01:01<00:33,  2.42s/it, loss_test=12.375]

 68%|██████████████████████████████▍              | 27/40 [01:03<00:30,  2.37s/it, loss_test=12.341]

 70%|███████████████████████████████▍             | 28/40 [01:06<00:28,  2.35s/it, loss_test=12.297]
Epoch: 27, Training Loss: 44.1129, Test Loss: 12.2965


 75%|█████████████████████████████████▊           | 30/40 [01:11<00:23,  2.37s/it, loss_test=12.283]

 78%|██████████████████████████████████▉          | 31/40 [01:13<00:20,  2.33s/it, loss_test=12.344]

 80%|████████████████████████████████████         | 32/40 [01:15<00:18,  2.35s/it, loss_test=12.284]

 82%|█████████████████████████████████████▏       | 33/40 [01:18<00:16,  2.36s/it, loss_test=12.357]

 82%|█████████████████████████████████████▏       | 33/40 [01:20<00:16,  2.36s/it, loss_test=12.280]


 88%|███████████████████████████████████████▍     | 35/40 [01:22<00:11,  2.37s/it, loss_test=12.304]

 90%|████████████████████████████████████████▌    | 36/40 [01:25<00:09,  2.33s/it, loss_test=12.354]

 90%|████████████████████████████████████████▌    | 36/40 [01:27<00:09,  2.33s/it, loss_test=12.312]

 95%|██████████████████████████████████████████▊  | 38/40 [01:29<00:04,  2.28s/it, loss_test=12.325]

 98%|███████████████████████████████████████████▉ | 39/40 [01:31<00:02,  2.26s/it, loss_test=12.319]

100%|█████████████████████████████████████████████| 40/40 [01:33<00:00,  2.35s/it, loss_test=12.308]
Epoch: 39, Training Loss: 43.8987, Test Loss: 12.3078
Model saved as model_7819632np.pt
